Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0483583892056311,-0.569818604236544,-0.0265692597772422,0,0,0,3.2125402349035,0.00721904461730867,-1.93643410745551E-06,-3.86677335720237E-07,0.00580133003669007,3.92311651876708E-07,0.0125108174018615,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996491,-0.0155948984609842,0.023255646876256,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975804E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336099E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.126408549299102,-0.497497400808498,-0.100377754287938,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826274,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949422E-10,1.91230261060059E-09,0.000410429434291453,-5.55682412519028E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.01976,-0.021787,0.0099999,3.0841,0,3.1416,left_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.023255686661272,0,0,0,0.0651133753251555,1.48802639086072E-05,1.648453020563E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510212E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,0.043591,-0.4975,-0.10038,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.39635020580722E-20,5.20789276468475E-21,0.000410429434291421,-3.25260651745651E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.0077391,-0.021785,0.01,0.1626,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,-0.0113544749097687,0.00129821973144107,1.10631679103926E-05,0,0,0,0.0436119950287127,2.35707058046401E-05,2.17579681215252E-08,1.01813691699836E-09,2.21058141232449E-05,8.85791114075603E-10,4.29479133591155E-06,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-2,Origin_camera,,camera,fixed,-0.047428,-0.4557,0.02061,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
camera2,-0.0113544534309981,0.00129834296576298,1.07114395615296E-05,0,0,0,0.0436115646020756,2.35700541862173E-05,2.17644981327683E-08,9.97288459824813E-10,2.21052311066007E-05,6.84462776106544E-10,4.294719281608E-06,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-1,Origin_camera2,,camera2,fixed,-0.047428,-0.4697,0.089145,1.5708,-0.2618,1.5708,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367747,-0.00242014065569162,-0.0287648859064543,0,0,0,0.0730845706123876,1.9580875609635E-05,-1.03933750344926E-07,4.28391241039135E-07,2.41250086763081E-05,-9.42709906914273E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,,lidar_joint,fixed,-0.039622,-0.54176,0.15412,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
imu,0,0.00250000000000003,0,0,0,0,0.000510000000000001,5.31250000000002E-09,5.52943107967612E-26,-7.37257477290141E-26,8.50000000000004E-09,1.56688295209998E-40,5.31250000000002E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_imu2,,imu,fixed,-0.08867,-0.5725,0.10062,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_wheel,-2.08166817117217E-17,-0.0587398646659116,-1.11022302462516E-16,0,0,0,0.350258660632925,0.0001661084299666,1.57966005845945E-21,-9.68053563945766E-22,0.000114730603640893,3.07741679828361E-21,0.0001661084299666,0,0,0,0,0,0,package://model20/meshes/rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/rear_wheel.STL,,suspension3-1;ball_sus-1,Origin_rear_wheel,Axis_rear_wheel,rear_wheel,continuous,-0.046425,-0.703,-0.10038,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
